16146,1344378,20,1403259,20,16,1,0,8,0
8997,1467411,20,1563219,20,10,3,0,6,0
9355,980636,20,1308815,20,14,0,0,10,0
14794,1781154,20,1087164,20,3,0,0,30,0
9599,914577,20,1310474,20,8,1,0,22,0
9838,1124592,20,1252501,20,6,1,0,15,0
24172,1577724,20,1467841,20,8,0,0,18,0
8377,1891396,20,961975,20,8,0,0,12,0
7747,1255813,20,1495341,20,7,1,0,13,0
6476,774030,20,1165602,20,6,0,0,9,0
5894,1584605,20,1028723,20,23,3,0,7,0
7503,1427391,20,915511,20,5,2,0,10,0
18751,1225065,20,1552361,20,14,1,0,15,0
16031,1042783,20,1148633,20,12,1,0,10,0
4467,1274751,20,1044053,20,12,4,0,2,0
13077,898984,20,1704033,20,15,2,0,13,0
9497,1568473,20,1608302,20,8,0,0,9,0
12088,1226434,20,1850455,20,7,0,0,27,0
3542,2132711,20,1312772,20,11,0,0,13,0
7260,1314958,20,1165074,20,15,1,0,8,0
11368,1525583,20,1255008,20,9,0,0,11,0
15309,1655840,20,1113155,20,8,3,0,10,0
4461,1300636,20,1397929,20,31,0,0,2,0
6778,2050256,20,1390300,20,7,1,0,11,0
18059,1624257,20,1135345,20,7,2,0,10,0
12449,1590732,20,1255277,20,6,1,0,10,0
6594,1222104,20,1363888,20,2,1,0,8,0
7204,1052857,20,1248346,20,26,0,0,5,0
19048,1747855,20,1517189,20,16,1,0,10,0
21711,1800700,20,1460091,20,10,2,0,8,0
7800,1416860,20,1094308,20,7,0,0,26,0
11589,1603813,20,1699031,20,12,3,0,17,0
6924,1073223,20,1566541,20,11,2,0,11,0
7426,1279326,20,677539,20,7,1,0,33,0
15404,1417702,20,1641641,20,13,0,0,18,0
12517,1153987,20,1170114,20,6,0,0,20,0
10268,1925301,20,1870461,20,14,1,0,10,0
3942,1345527,20,1732921,20,7,1,0,7,0
19230,1693717,20,1319369,20,4,2,0,10,0
3451,1380030,20,2152570,20,18,0,0,11,0
13339,979124,20,1589718,20,9,1,0,18,0
9164,1004517,20,921862,20,12,0,0,16,0
7316,937529,20,1249815,20,6,3,0,18,0
11078,1145702,20,1466030,20,17,1,0,8,0
12290,1269191,20,1766221,20,9,4,0,15,0
13902,1729256,20,1451501,20,23,2,0,10,0
8771,1350364,20,810026,20,7,1,0,7,0
18572,1517271,20,1551943,20,13,5,0,18,0
10119,1126046,20,965485,20,7,0,0,10,0
6927,1214664,20,1562888,20,12,0,0,9,0
9426,894736,20,1124403,20,3,1,0,14,0
11960,1290719,20,1412524,20,6,4,0,8,0
12298,1158928,20,1193037,20,9,3,0,11,0
13505,1446095,20,1365851,20,10,0,0,7,0
8812,1549419,20,1516587,20,9,4,0,17,0
13872,863180,20,1303746,20,8,3,0,9,0
8575,1757598,20,1269888,20,7,0,0,10,0
7160,1688813,20,996408,20,6,3,0,7,0
5260,1584239,20,923172,20,9,2,0,9,0
13922,1279885,20,1075792,20,16,1,0,8,0
12096,978916,20,1317718,20,11,3,0,10,0
12313,1670870,20,1298584,20,6,4,0,17,0
10128,1389742,20,1034036,20,23,3,0,8,0
12843,1530400,20,1262184,20,8,0,0,21,0
7257,1301099,20,1219956,20,10,0,0,11,0
6589,1589299,20,1028842,20,8,2,0,12,0
11425,1484027,20,1028566,20,11,0,0,8,0
7496,1206016,20,889465,20,23,1,0,29,0
8731,1062314,20,1262007,20,7,4,0,10,0
13783,1240697,20,2014790,20,12,6,0,12,0
20906,1954792,20,1300537,20,11,1,0,7,0
9291,2296099,20,1153560,20,7,0,0,11,0
14032,1565696,20,1180211,20,5,0,0,9,0
47648,1998010,20,1701883,20,9,5,0,18,0
6143,1117727,20,1500911,20,6,0,0,4,0
12338,781301,20,1508053,20,17,0,0,13,0
4832,1403485,20,1286761,20,8,0,0,10,0
