58394,0,130,0,0,82,0
14483,0,68,0,0,116,0
64197,0,106,0,0,82,0
32090,0,123,1,0,56,0
96499,1,440,4,0,137,0
4190,0,160,1,0,59,0
20384,0,149,2,0,61,0
109109,1,119,2,0,116,0
103459,1,386,3,0,140,0
37975,0,68,1,0,124,0
62359,0,106,2,0,47,0
12224,0,48,0,0,87,0
14571,0,124,3,0,99,0
26539,0,115,0,0,88,0
64157,0,56,0,0,85,0
52259,0,201,1,0,68,0
56748,0,132,1,0,45,0
14097,0,66,0,0,151,0
92253,1,203,1,0,278,0
65194,0,75,1,0,101,0
140791,1,303,8,0,161,0
103904,1,68,6,0,149,0
70773,0,190,4,0,99,0
57946,0,88,1,0,104,0
90138,1,144,1,0,135,0
40800,0,102,0,0,69,0
44326,0,211,1,0,85,0
16075,0,85,0,0,81,0
106408,1,383,4,0,169,0
55427,0,127,1,0,86,0
30046,0,66,0,0,108,0
33332,0,61,0,0,80,0
21175,0,81,0,0,60,0
10920,0,146,1,0,106,0
17069,0,90,0,0,72,0
85632,1,86,1,0,123,0
83771,1,229,0,0,135,0
97342,1,215,8,0,146,0
3383,0,81,1,0,49,0
50172,0,76,0,0,97,0
79425,0,197,2,0,112,0
86197,1,87,1,0,172,0
90177,1,299,1,0,160,0
91945,1,313,3,0,192,0
2519,0,100,1,0,70,0
16617,0,151,0,0,72,0
55358,0,152,0,0,121,0
73176,0,165,3,0,92,0
4777,0,116,0,0,83,0
33732,0,122,0,0,66,0
44883,0,43,1,0,106,0
60895,0,181,4,0,91,0
128311,1,252,10,0,191,0
58417,0,42,0,0,81,0
99705,1,231,5,0,149,0
5676,0,70,0,0,71,0
27213,0,60,0,0,99,0
122213,1,165,8,0,110,0
88124,1,214,2,0,130,0
71012,0,311,6,0,117,0
27283,0,111,0,0,121,0
95867,1,119,1,0,187,0
5954,0,83,0,0,92,0
143323,1,174,2,0,85,0
72693,0,309,2,0,100,0
32735,0,54,0,0,71,0
95812,1,264,2,0,130,0
41481,0,53,0,0,82,0
8296,0,72,1,0,61,0
93688,1,175,0,0,267,0
28888,0,63,0,0,62,0
26303,0,67,1,0,49,0
88188,1,207,4,0,162,0
12123,0,38,0,0,65,0
91770,1,76,2,0,222,0
30025,0,178,0,0,80,0
17625,0,133,0,0,87,0
65980,0,106,0,0,64,0
105067,1,123,5,0,171,0
4598,0,75,0,0,79,0
17935,0,105,0,0,103,0
9284,0,50,2,0,109,0
12038,0,41,0,0,96,0
7834,0,197,0,0,99,0
98135,1,92,0,0,188,0
125311,1,230,6,0,185,0
20442,0,98,2,0,64,0
39657,0,289,1,0,119,0
19193,0,100,1,0,153,0
76712,0,226,3,0,56,0
38275,0,97,0,0,93,0
116819,1,132,4,0,186,0
95456,1,244,7,0,109,0
119188,1,248,3,0,183,0
20718,0,325,1,0,72,0
85410,1,97,0,0,163,0
12712,0,72,0,0,64,0
9016,0,117,0,0,96,0
29340,0,251,2,0,109,0
14064,0,112,0,0,125,0
97341,1,163,4,0,160,0
51270,0,96,2,0,70,0
26205,0,116,0,0,52,0
16569,0,109,1,0,78,0
66504,0,199,6,0,87,0
84933,1,97,0,0,149,0
77478,0,48,0,0,40,0
58648,0,71,0,0,104,0
3271,0,74,0,0,122,0
5413,0,197,0,0,88,0
88822,1,117,0,0,185,0
20515,0,100,1,0,104,0
21514,0,61,0,0,42,0
27568,0,49,0,0,86,0
74438,0,68,0,0,127,0
57193,0,182,1,0,90,0
19065,0,50,0,0,50,0
18927,0,92,0,0,97,0
2551,0,78,0,0,70,0
98906,1,174,0,0,127,0
97332,1,187,3,0,167,0
25000,0,61,0,0,102,0
4533,0,169,0,0,99,0
47015,0,51,0,0,78,0
3742,0,44,1,0,47,0
25332,0,191,7,0,129,0
59519,0,203,5,0,63,0
112686,1,48,1,0,145,0
60393,0,132,3,0,52,0
62248,0,41,1,0,77,0
148533,1,228,5,0,199,0
6689,0,332,0,0,70,0
98296,1,497,8,0,227,0
9638,0,154,0,0,64,0
9906,0,103,0,0,78,0
62434,0,160,1,0,60,0
21086,0,86,1,0,99,0
1530,0,121,0,0,30,0
6236,0,73,1,0,76,0
28751,0,236,1,0,145,0
71848,0,161,2,0,66,0
31503,0,156,1,0,103,0
46156,0,146,1,0,76,0
38540,0,173,0,0,76,0
5672,0,101,0,0,119,0
57995,0,128,0,0,63,0
39891,0,83,0,0,121,0
25256,0,88,2,0,72,0
76712,0,89,0,0,103,0
23911,0,88,2,0,111,0
29408,0,136,0,0,112,0
82048,1,131,5,0,221,0
29306,0,84,0,0,148,0
6856,0,167,1,0,83,0
60217,0,182,4,0,60,0
4961,0,87,2,0,99,0
77658,0,79,1,0,143,0
26584,0,252,1,0,51,0
9835,0,64,0,0,67,0
47483,0,71,1,0,147,0
19105,0,89,0,0,127,0
79253,0,120,1,0,78,0
133969,1,166,10,0,157,0
41770,0,141,3,0,73,0
34574,0,80,0,0,79,0
43716,0,59,0,0,135,0
45312,0,67,0,0,74,0
5859,0,69,0,0,88,0
3796,0,76,1,0,128,0
79182,0,192,7,0,71,0
9999,0,108,0,0,75,0
103635,1,232,4,0,199,0
