18923,5,5,0,22,0
3026,2,0,0,12,0
20728,37,11,0,12,0
34695,14,1,0,12,0
2166,22,1,0,5,0
27493,35,1,0,10,0
8787,22,2,0,7,0
7296,14,0,0,17,0
17209,43,0,0,6,0
45045,40,0,0,13,0
16184,20,0,0,18,0
7481,11,1,0,21,0
17753,25,0,0,44,0
15187,11,2,0,16,0
885,18,0,0,16,0
96226,23,4,0,20,0
5505,14,1,0,14,0
4262,10,2,0,7,0
13649,1,0,0,12,0
57872,7,9,0,9,0
21073,15,0,0,6,0
19978,44,3,0,8,0
5573,10,1,0,11,0
8086,19,1,0,21,0
1674,16,2,0,3,0
552,20,0,0,4,0
16530,22,2,0,12,0
11419,3,3,0,10,0
20911,17,2,0,15,0
1360,11,2,0,8,0
16885,24,2,0,5,0
97237,45,10,0,14,0
6266,5,2,0,10,0
19343,5,2,0,18,0
17353,16,1,0,15,0
34954,22,5,0,24,0
48753,13,1,0,9,0
9679,4,2,0,7,0
3372,4,1,0,19,0
10585,7,0,0,1,0
61223,5,11,0,12,0
935,23,0,0,8,0
1265,3,1,0,21,0
7679,2,6,0,11,0
12313,32,0,0,9,0
54827,11,9,0,25,0
1602,3,1,0,14,0
28784,15,1,0,19,0
24771,6,0,0,21,0
53168,15,1,0,9,0
5792,25,1,0,9,0
7894,18,0,0,13,0
3152,3,0,0,15,0
20906,1,1,0,2,0
12001,52,1,0,6,0
20124,15,2,0,24,0
32749,25,1,0,21,0
39720,16,4,0,14,0
3215,3,3,0,8,0
4957,26,2,0,5,0
4374,6,0,0,23,0
945,12,1,0,10,0
17629,3,0,0,18,0
9282,7,0,0,15,0
8896,39,0,0,28,0
11569,2,0,0,4,0
39823,20,18,0,15,0
33798,3,7,0,13,0
13639,16,1,0,19,0
3874,21,5,0,24,0
24648,10,7,0,8,0
20506,52,2,0,9,0
647,24,0,0,9,0
22846,25,3,0,21,0
10143,4,2,0,21,0
9534,28,1,0,2,0
45585,15,4,0,17,0
1478,28,3,0,11,0
22954,12,1,0,24,0
3373,29,2,0,10,0
36572,10,3,0,15,0
748,12,1,0,5,0
16460,4,3,0,9,0
1076,24,0,0,13,0
47715,17,12,0,32,0
23581,21,1,0,7,0
20140,14,0,0,40,0
9296,11,0,0,8,0
2840,32,0,0,8,0
2928,6,3,0,9,0
2024,1,2,0,5,0
10981,17,1,0,16,0
30989,20,1,0,10,0
11601,10,3,0,32,0
2236,24,1,0,10,0
59740,48,6,0,7,0
4315,14,0,0,9,0
22216,3,0,0,9,0
287,12,1,0,12,0
11386,20,1,0,13,0
396,3,0,0,8,0
25365,16,0,0,6,0
312,2,0,0,25,0
1237,3,0,0,6,0
36602,53,3,0,25,0
3658,3,1,0,3,0
2395,13,0,0,24,0
18333,25,0,0,10,0
7224,0,6,0,17,0
18137,8,1,0,12,0
2220,3,0,0,15,0
806,1,1,0,14,0
34848,22,4,0,26,0
7520,14,5,0,31,0
22364,12,1,0,28,0
3682,5,3,0,5,0
33470,27,2,0,24,0
9542,13,0,0,15,0
1070,4,0,0,10,0
1347,20,3,0,14,0
8513,2,1,0,14,0
714,4,0,0,30,0
37104,25,1,0,55,0
7996,14,0,0,18,0
37738,24,6,0,10,0
66287,9,8,0,26,0
608,32,1,0,6,0
4158,2,3,0,22,0
9712,22,2,0,11,0
2949,2,0,0,28,0
9441,4,1,0,18,0
33862,26,3,0,17,0
21570,33,0,0,25,0
30370,3,1,0,6,0
38721,25,3,0,7,0
15560,33,0,0,13,0
1565,9,2,0,10,0
12888,26,0,0,6,0
2076,39,0,0,9,0
14974,20,4,0,25,0
12099,7,3,0,12,0
16357,32,4,0,11,0
587,15,3,0,10,0
1662,11,0,0,10,0
3019,16,0,0,13,0
21986,1,0,0,12,0
1686,3,0,0,20,0
3550,14,3,0,15,0
24469,16,0,0,10,0
4146,16,1,0,18,0
16849,23,0,0,13,0
14114,1,6,0,6,0
700,7,0,0,12,0
24126,24,2,0,15,0
17010,16,0,0,23,0
55979,24,4,0,3,0
16424,4,3,0,17,0
13645,18,0,0,18,0
3959,26,1,0,17,0
2559,41,0,0,8,0
1972,7,0,0,9,0
54835,22,4,0,13,0
47033,29,0,0,11,0
2852,3,1,0,9,0
15177,4,1,0,1,0
2074,14,0,0,5,0
12114,18,2,0,12,0
34450,13,6,0,11,0
53630,28,7,0,10,0
22867,15,8,0,32,0
5753,6,1,0,4,0
31817,12,2,0,9,0
20752,6,1,0,9,0
4824,2,0,0,17,0
2569,10,1,0,8,0
2315,5,4,0,6,0
11132,15,0,0,4,0
45446,5,5,0,23,0
1436,6,0,0,6,0
37346,32,0,0,10,0
15131,14,1,0,10,0
5596,15,1,0,7,0
27280,5,4,0,15,0
47947,3,4,0,27,0
32741,5,1,0,7,0
8217,4,1,0,8,0
15018,7,0,0,8,0
22926,6,0,0,23,0
9886,9,1,0,2,0
3997,4,2,0,9,0
56113,2,8,0,9,0
1448,29,1,0,14,0
19657,6,3,0,8,0
16608,17,0,0,18,0
22188,7,0,0,21,0
26771,32,4,0,11,0
3788,10,0,0,24,0
4461,27,0,0,18,0
2343,6,1,0,24,0
9641,6,5,0,9,0
14467,12,1,0,9,0
41530,10,3,0,24,0
3914,14,0,0,3,0
5681,7,0,0,20,0
24120,10,4,0,11,0
650,13,0,0,4,0
10019,21,2,0,14,0
4048,5,3,0,5,0
7558,22,1,0,13,0
33679,10,4,0,55,0
17647,15,0,0,8,0
7346,5,1,0,11,0
4568,22,1,0,10,0
19943,8,2,0,15,0
20741,11,0,0,23,0
8553,11,0,0,12,0
24409,18,2,0,7,0
1128,3,0,0,6,0
18102,2,3,0,3,0
4723,13,0,0,11,0
29220,22,2,0,27,0
419,14,2,0,20,0
9712,7,0,0,9,0
16789,25,3,0,6,0
15301,8,2,0,27,0
27150,13,1,0,19,0
25774,57,3,0,15,0
2829,31,0,0,11,0
