1681591,0,6,0,0,11,0,0
222721,0,16,0,0,17,0,0
52543,0,6,0,0,26,0,0
936889,0,14,2,0,16,0,2
861428,0,20,1,0,25,0,2
177262,0,19,1,0,18,0,1
219539,0,14,0,0,12,0,0
1038459,0,19,2,0,11,0,2
107845,0,13,0,0,32,0,0
146541,0,11,0,0,10,0,0
1875939,0,29,0,0,22,0,2
288731,0,6,2,0,19,0,2
432853,0,41,0,0,23,0,0
466615,0,17,0,0,31,0,1
29686,0,18,0,0,10,0,0
1380557,0,9,0,0,24,0,0
615911,0,29,1,0,13,0,3
1313104,0,33,1,0,10,0,4
145378,0,20,0,0,15,0,0
1004588,0,23,0,0,19,0,2
890318,0,30,3,0,34,0,4
50547,0,14,1,0,18,0,1
651954,0,13,2,0,17,0,3
210637,0,7,0,0,13,0,0
1816508,0,12,0,0,16,0,0
1829718,0,19,0,0,20,0,0
344022,0,24,2,0,25,0,2
6866,0,7,0,0,12,0,0
237139,0,33,2,0,11,0,5
199184,0,13,0,0,17,0,0
11627,0,5,0,0,13,0,0
72482,0,10,0,0,35,0,0
751672,0,27,3,0,13,0,4
458058,0,27,0,0,9,0,0
875330,0,23,1,0,21,0,1
1159593,0,18,0,0,18,0,0
533939,0,10,0,0,9,0,0
450763,0,20,1,0,30,0,2
664429,0,21,0,0,20,0,2
297480,0,17,0,0,16,0,0
73240,0,15,0,0,15,0,0
242269,0,19,1,0,6,0,3
245260,0,24,0,0,21,0,0
850453,0,24,2,0,41,0,3
308683,0,31,0,0,12,0,0
163846,0,11,0,0,6,0,0
164633,0,19,0,0,13,0,0
758649,0,24,0,0,14,0,0
888463,0,29,2,0,8,0,2
609098,0,31,0,0,8,0,0
594151,0,25,0,0,16,0,2
554646,0,18,1,0,11,0,1
605862,0,30,1,0,14,0,1
552924,0,13,0,0,16,0,0
435425,0,14,0,0,18,0,0
705437,0,7,0,0,10,0,0
412316,0,30,0,0,22,0,1
156456,0,20,2,0,15,0,3
562795,0,12,1,0,19,0,1
189939,0,17,1,0,44,0,1
551108,0,12,0,0,45,0,2
2064233,0,9,1,0,21,0,2
11807,0,22,0,0,30,0,0
539614,0,12,0,0,28,0,0
699395,0,15,0,0,17,0,0
314997,0,12,0,0,13,0,0
651767,0,19,2,0,31,0,2
216759,0,30,0,0,8,0,2
